DataSeries,year_month,arrivals
Oceania,2014-01,241053
Germany,2014-01,30104
Europe,2014-01,164504
France,2014-01,19961
United Kingdom,2014-01,53190
North America,2014-01,25544
Number Of Air Passenger Arrivals,2013-12,2572554
South East Asia,2013-12,1146801
Vietnam,2013-12,85639
Indonesia,2013-12,372597
Other Regions,2013-12,10121
Malaysia,2013-12,278765
Philippines,2013-12,102489
Thailand,2013-12,240114
North East Asia,2013-12,643997
Mainland China,2013-12,203226
Hong Kong,2013-12,182532
Japan,2013-12,118099
South Asia,2013-12,215026
Middle East,2013-12,61370
Oceania,2013-12,302573
Germany,2013-12,29374
Europe,2013-12,167326
France,2013-12,19280
United Kingdom,2013-12,53924
North America,2013-12,25340
Number Of Air Passenger Arrivals,2013-11,2164238
South East Asia,2013-11,991412
Vietnam,2013-11,74181
Indonesia,2013-11,308167
Other Regions,2013-11,6861
Malaysia,2013-11,238309
Philippines,2013-11,95993
Thailand,2013-11,216466
North East Asia,2013-11,553864
Mainland China,2013-11,181240
Hong Kong,2013-11,153096
Japan,2013-11,102584
South Asia,2013-11,179462
Middle East,2013-11,41890
Oceania,2013-11,221142
Germany,2013-11,30931
Europe,2013-11,147495
France,2013-11,15785
United Kingdom,2013-11,44156
North America,2013-11,22112
Number Of Air Passenger Arrivals,2013-10,2150448
South East Asia,2013-10,987327
Vietnam,2013-10,73024
Indonesia,2013-10,319934
Other Regions,2013-10,8322
Malaysia,2013-10,222580
Philippines,2013-10,101749
Thailand,2013-10,217670
North East Asia,2013-10,529129
Mainland China,2013-10,177801
Hong Kong,2013-10,131279
Japan,2013-10,102931
South Asia,2013-10,166833
Middle East,2013-10,50337
Oceania,2013-10,200972
Germany,2013-10,39978
Europe,2013-10,183499
France,2013-10,20936
United Kingdom,2013-10,50816
North America,2013-10,24029
Number Of Air Passenger Arrivals,2013-09,2115158
South East Asia,2013-09,947771
Vietnam,2013-09,67448
Indonesia,2013-09,312348
Other Regions,2013-09,9021
Malaysia,2013-09,218259
Philippines,2013-09,90929
Thailand,2013-09,216233
North East Asia,2013-09,526786
Mainland China,2013-09,195383
Hong Kong,2013-09,127691
Japan,2013-09,97944
South Asia,2013-09,163583
Middle East,2013-09,42766
Oceania,2013-09,230890
Germany,2013-09,36747
Europe,2013-09,173242
France,2013-09,18623
United Kingdom,2013-09,52310
North America,2013-09,21099
Number Of Air Passenger Arrivals,2013-08,2300798
South East Asia,2013-08,1033652
Vietnam,2013-08,77317
Indonesia,2013-08,351027
Other Regions,2013-08,8817
Malaysia,2013-08,237581
Philippines,2013-08,99469
Thailand,2013-08,220472
North East Asia,2013-08,588600
Mainland China,2013-08,206103
Hong Kong,2013-08,145299
Japan,2013-08,118729
South Asia,2013-08,181966
Middle East,2013-08,55475
Oceania,2013-08,223755
Germany,2013-08,37091
Europe,2013-08,182409
France,2013-08,22703
United Kingdom,2013-08,56936
North America,2013-08,26124
Number Of Air Passenger Arrivals,2013-07,2263773
South East Asia,2013-07,974929
Vietnam,2013-07,83765
Indonesia,2013-07,305275
Other Regions,2013-07,7656
Malaysia,2013-07,218589
Philippines,2013-07,96122
Thailand,2013-07,223206
North East Asia,2013-07,591689
Mainland China,2013-07,219422
Hong Kong,2013-07,153700
Japan,2013-07,99813
South Asia,2013-07,180707
Middle East,2013-07,56278
Oceania,2013-07,225935
Germany,2013-07,37862
Europe,2013-07,195132
France,2013-07,24351
United Kingdom,2013-07,61311
North America,2013-07,31447
Number Of Air Passenger Arrivals,2013-06,2315861
South East Asia,2013-06,1059319
Vietnam,2013-06,80248
Indonesia,2013-06,344701
Other Regions,2013-06,8241
Malaysia,2013-06,243689
Philippines,2013-06,108049
Thailand,2013-06,233475
North East Asia,2013-06,552238
Mainland China,2013-06,192926
Hong Kong,2013-06,139369
Japan,2013-06,98420
South Asia,2013-06,191531
Middle East,2013-06,62209
Oceania,2013-06,240265
Germany,2013-06,28991
Europe,2013-06,165766
France,2013-06,20119
United Kingdom,2013-06,53115
North America,2013-06,36292
Number Of Air Passenger Arrivals,2013-05,2091320
South East Asia,2013-05,997638
Vietnam,2013-05,69701
Indonesia,2013-05,301488
Other Regions,2013-05,7374
Malaysia,2013-05,225988
Philippines,2013-05,126152
Thailand,2013-05,226382
North East Asia,2013-05,487824
Mainland China,2013-05,171225
Hong Kong,2013-05,125310
Japan,2013-05,83707
South Asia,2013-05,194090
Middle East,2013-05,42983
Oceania,2013-05,198544
Germany,2013-05,26018
Europe,2013-05,133050
France,2013-05,16882
United Kingdom,2013-05,39957
North America,2013-05,29817
Number Of Air Passenger Arrivals,2013-04,2112175
South East Asia,2013-04,970757
Vietnam,2013-04,74511
Indonesia,2013-04,277282
Other Regions,2013-04,8390
Malaysia,2013-04,205556
Philippines,2013-04,125896
Thailand,2013-04,237186
North East Asia,2013-04,530807
Mainland China,2013-04,202468
Hong Kong,2013-04,127018
Japan,2013-04,94840
South Asia,2013-04,181982
Middle East,2013-04,43956
Oceania,2013-04,218671
Germany,2013-04,28662
Europe,2013-04,135400
France,2013-04,17538
United Kingdom,2013-04,40270
North America,2013-04,22212
Number Of Air Passenger Arrivals,2013-03,2251713
South East Asia,2013-03,1019264
Vietnam,2013-03,79883
Indonesia,2013-03,304817
Other Regions,2013-03,8727
Malaysia,2013-03,225906
Philippines,2013-03,108256
Thailand,2013-03,244972
North East Asia,2013-03,569852
Mainland China,2013-03,196041
Hong Kong,2013-03,155144
Japan,2013-03,106254
South Asia,2013-03,179377
Middle East,2013-03,58573
Oceania,2013-03,228431
Germany,2013-03,33630
Europe,2013-03,163721
France,2013-03,20696
United Kingdom,2013-03,60200
North America,2013-03,23768
Number Of Air Passenger Arrivals,2013-02,2001547
South East Asia,2013-02,867730
Vietnam,2013-02,68909
Indonesia,2013-02,253271
Other Regions,2013-02,7065
Malaysia,2013-02,198645
Philippines,2013-02,97034
Thailand,2013-02,201585
North East Asia,2013-02,534663
Mainland China,2013-02,197259
Hong Kong,2013-02,137301
Japan,2013-02,95702
South Asia,2013-02,177713
Middle East,2013-02,44705
Oceania,2013-02,198570
Germany,2013-02,29739
Europe,2013-02,149448
France,2013-02,20097
United Kingdom,2013-02,53214
North America,2013-02,21653
Number Of Air Passenger Arrivals,2013-01,2160774
South East Asia,2013-01,932248
Vietnam,2013-01,70334
Indonesia,2013-01,264761
Other Regions,2013-01,10190
Malaysia,2013-01,197817
Philippines,2013-01,126554
Thailand,2013-01,220764
North East Asia,2013-01,527059
Mainland China,2013-01,179027
Hong Kong,2013-01,137958
Japan,2013-01,89487
South Asia,2013-01,213399
Middle East,2013-01,44134
Oceania,2013-01,224888
Germany,2013-01,33821
Europe,2013-01,178088
France,2013-01,23192
United Kingdom,2013-01,66452
North America,2013-01,30768
Number Of Air Passenger Arrivals,2012-12,2441550
South East Asia,2012-12,1041096
Vietnam,2012-12,77669
Indonesia,2012-12,318413
Malaysia,2012-12,248281
Philippines,2012-12,95201
Thailand,2012-12,243044
North East Asia,2012-12,624926
Mainland China,2012-12,204894
Hong Kong,2012-12,174289
Japan,2012-12,102105
South Asia,2012-12,212469
Middle East,2012-12,56056
Oceania,2012-12,283395
Germany,2012-12,33208
Europe,2012-12,179562
France,2012-12,21025
United Kingdom,2012-12,67933
North America,2012-12,32846
Number Of Air Passenger Arrivals,2012-11,2102448
South East Asia,2012-11,924145
Vietnam,2012-11,69881
Indonesia,2012-11,276326
Malaysia,2012-11,211914
Philippines,2012-11,93809
Thailand,2012-11,222200
North East Asia,2012-11,536047
Mainland China,2012-11,185766
Hong Kong,2012-11,144109
Japan,2012-11,92405
South Asia,2012-11,171111
Middle East,2012-11,37622
Oceania,2012-11,239104
Germany,2012-11,34408
Europe,2012-11,159950
France,2012-11,18691
United Kingdom,2012-11,57878
North America,2012-11,26340
Number Of Air Passenger Arrivals,2012-10,2075010
South East Asia,2012-10,907848
Vietnam,2012-10,69566
Indonesia,2012-10,281309
Malaysia,2012-10,198924
Philippines,2012-10,97083
Thailand,2012-10,216101
North East Asia,2012-10,510252
Mainland China,2012-10,183814
Hong Kong,2012-10,134801
Japan,2012-10,86870
South Asia,2012-10,165541
Middle East,2012-10,41809
Oceania,2012-10,206723
Germany,2012-10,42444
Europe,2012-10,204999
France,2012-10,23620
United Kingdom,2012-10,71001
North America,2012-10,27586
Number Of Air Passenger Arrivals,2012-09,1949613
South East Asia,2012-09,830314
Vietnam,2012-09,63947
Indonesia,2012-09,272548
Malaysia,2012-09,186697
Philippines,2012-09,89318
Thailand,2012-09,182071
North East Asia,2012-09,469796
Mainland China,2012-09,170181
Hong Kong,2012-09,125760
Japan,2012-09,85586
South Asia,2012-09,157076
Middle East,2012-09,37640
Oceania,2012-09,236005
Germany,2012-09,39742
Europe,2012-09,186504
France,2012-09,21375
United Kingdom,2012-09,63237
North America,2012-09,22408
Number Of Air Passenger Arrivals,2012-08,2079441
South East Asia,2012-08,904928
Vietnam,2012-08,75601
Indonesia,2012-08,288369
Malaysia,2012-08,205000
Philippines,2012-08,92043
Thailand,2012-08,203864
North East Asia,2012-08,532269
Mainland China,2012-08,182604
Hong Kong,2012-08,148449
Japan,2012-08,97740
South Asia,2012-08,164440
Middle East,2012-08,45050
Oceania,2012-08,218510
Germany,2012-08,40246
Europe,2012-08,178094
France,2012-08,21007
United Kingdom,2012-08,58217
North America,2012-08,26677
Number Of Air Passenger Arrivals,2012-07,2148193
South East Asia,2012-07,913176
Vietnam,2012-07,82617
Indonesia,2012-07,284395
Malaysia,2012-07,203610
Philippines,2012-07,95330
Thailand,2012-07,206623
North East Asia,2012-07,550884
Mainland China,2012-07,199618
Hong Kong,2012-07,153203
Japan,2012-07,88922
South Asia,2012-07,173007
Middle East,2012-07,46993
Oceania,2012-07,211928
Germany,2012-07,44867
Europe,2012-07,208130
France,2012-07,24322
United Kingdom,2012-07,70873
North America,2012-07,34782
Number Of Air Passenger Arrivals,2012-06,2184433
South East Asia,2012-06,961362
Vietnam,2012-06,76909
Indonesia,2012-06,320113
Malaysia,2012-06,218440
Philippines,2012-06,104297
Thailand,2012-06,201515
North East Asia,2012-06,527781
Mainland China,2012-06,185675
Hong Kong,2012-06,149889
Japan,2012-06,81870
South Asia,2012-06,178919
Middle East,2012-06,51132
Oceania,2012-06,238822
Germany,2012-06,36112
Europe,2012-06,180361
France,2012-06,21073
United Kingdom,2012-06,63702
North America,2012-06,36983
Number Of Air Passenger Arrivals,2012-05,1972646
South East Asia,2012-05,906059
Vietnam,2012-05,68432
Indonesia,2012-05,276292
Malaysia,2012-05,200977
Philippines,2012-05,124711
Thailand,2012-05,195579
North East Asia,2012-05,457799
Mainland China,2012-05,161829
Hong Kong,2012-05,127583
Japan,2012-05,71763
South Asia,2012-05,183175
Middle East,2012-05,42142
Oceania,2012-05,199064
Germany,2012-05,31908
Europe,2012-05,146432
France,2012-05,17816
United Kingdom,2012-05,46915
North America,2012-05,30606
Number Of Air Passenger Arrivals,2012-04,2054888
South East Asia,2012-04,921912
Vietnam,2012-04,71838
Indonesia,2012-04,270407
Malaysia,2012-04,202283
Philippines,2012-04,126399
Thailand,2012-04,210459
North East Asia,2012-04,507157
Mainland China,2012-04,181460
Hong Kong,2012-04,141839
Japan,2012-04,82811
South Asia,2012-04,180685
Middle East,2012-04,42717
Oceania,2012-04,216987
Germany,2012-04,32896
Europe,2012-04,154100
France,2012-04,17828
United Kingdom,2012-04,50128
North America,2012-04,21945
Number Of Air Passenger Arrivals,2012-03,2087238
South East Asia,2012-03,947792
Vietnam,2012-03,75300
Indonesia,2012-03,288242
Malaysia,2012-03,212397
Philippines,2012-03,105728
Thailand,2012-03,221593
North East Asia,2012-03,508864
Mainland China,2012-03,172904
Hong Kong,2012-03,147892
Japan,2012-03,92839
South Asia,2012-03,169296
Middle East,2012-03,50789
Oceania,2012-03,211402
Germany,2012-03,37746
Europe,2012-03,165905
France,2012-03,16728
United Kingdom,2012-03,58400
North America,2012-03,23909
Number Of Air Passenger Arrivals,2012-02,1851000
South East Asia,2012-02,847694
Vietnam,2012-02,71354
Indonesia,2012-02,258203
Malaysia,2012-02,192225
Philippines,2012-02,97327
Thailand,2012-02,187689
North East Asia,2012-02,445560
Mainland China,2012-02,156853
Hong Kong,2012-02,114653
Japan,2012-02,84874
South Asia,2012-02,163127
Middle East,2012-02,34601
Oceania,2012-02,174128
Germany,2012-02,37831
Europe,2012-02,155895
France,2012-02,15685
United Kingdom,2012-02,53081
North America,2012-02,22392
Number Of Air Passenger Arrivals,2012-01,2109494
South East Asia,2012-01,906529
Vietnam,2012-01,78072
Indonesia,2012-01,266279
Malaysia,2012-01,204541
Philippines,2012-01,129431
Thailand,2012-01,184385
North East Asia,2012-01,542664
Mainland China,2012-01,194666
Hong Kong,2012-01,154444
Japan,2012-01,81299
South Asia,2012-01,187432
Middle East,2012-01,43018
Oceania,2012-01,214456
Germany,2012-01,39119
Europe,2012-01,174804
France,2012-01,19955
United Kingdom,2012-01,60181
North America,2012-01,30821
Number Of Air Passenger Arrivals,2011-12,2242263
South East Asia,2011-12,935310
Vietnam,2011-12,75187
Indonesia,2011-12,305269
Malaysia,2011-12,231270
Philippines,2011-12,93724
Thailand,2011-12,182567
North East Asia,2011-12,586790
Mainland China,2011-12,183972
Hong Kong,2011-12,175179
Japan,2011-12,93227
South Asia,2011-12,188344
Middle East,2011-12,53934
Oceania,2011-12,260191
Germany,2011-12,36865
Europe,2011-12,176488
France,2011-12,20111
United Kingdom,2011-12,62534
North America,2011-12,29539
Number Of Air Passenger Arrivals,2011-11,1865818
South East Asia,2011-11,779906
Vietnam,2011-11,66010
Indonesia,2011-11,259268
Malaysia,2011-11,206764
Philippines,2011-11,90836
Thailand,2011-11,116675
North East Asia,2011-11,491809
Mainland China,2011-11,156774
Hong Kong,2011-11,147514
Japan,2011-11,83226
South Asia,2011-11,158316
Middle East,2011-11,39736
Oceania,2011-11,206871
Germany,2011-11,35267
Europe,2011-11,156848
France,2011-11,18263
United Kingdom,2011-11,54233
North America,2011-11,23783
Number Of Air Passenger Arrivals,2011-10,1893500
South East Asia,2011-10,826752
Vietnam,2011-10,61959
Indonesia,2011-10,261947
Malaysia,2011-10,191546
Philippines,2011-10,99169
Thailand,2011-10,176231
North East Asia,2011-10,463679
Mainland China,2011-10,157669
Hong Kong,2011-10,130683
Japan,2011-10,77614
South Asia,2011-10,155424
Middle East,2011-10,33063
Oceania,2011-10,188400
Germany,2011-10,39783
Europe,2011-10,190769
France,2011-10,21763
United Kingdom,2011-10,64328
North America,2011-10,24570
Number Of Air Passenger Arrivals,2011-09,1861845
South East Asia,2011-09,791431
Vietnam,2011-09,62374
Indonesia,2011-09,247205
Malaysia,2011-09,186612
Philippines,2011-09,92112
Thailand,2011-09,169659
North East Asia,2011-09,473452
Mainland China,2011-09,159043
Hong Kong,2011-09,138483
Japan,2011-09,81037
South Asia,2011-09,144152
Middle East,2011-09,32254
Oceania,2011-09,206378
Germany,2011-09,37287
Europe,2011-09,181655
France,2011-09,21063
United Kingdom,2011-09,63968
North America,2011-09,22888
Number Of Air Passenger Arrivals,2011-08,1871360
South East Asia,2011-08,839117
Vietnam,2011-08,65336
Indonesia,2011-08,278479
Malaysia,2011-08,201388
Philippines,2011-08,91221
Thailand,2011-08,169074
North East Asia,2011-08,472330
Mainland China,2011-08,149828
Hong Kong,2011-08,141312
Japan,2011-08,87108
South Asia,2011-08,140454
Middle East,2011-08,34251
Oceania,2011-08,184326
Germany,2011-08,35406
Europe,2011-08,171223
France,2011-08,19523
United Kingdom,2011-08,60675
North America,2011-08,21887
Number Of Air Passenger Arrivals,2011-07,2056049
South East Asia,2011-07,889606
Vietnam,2011-07,78931
Indonesia,2011-07,289582
Malaysia,2011-07,212795
Philippines,2011-07,93255
Thailand,2011-07,176800
North East Asia,2011-07,528120
Mainland China,2011-07,176885
Hong Kong,2011-07,164597
Japan,2011-07,80328
South Asia,2011-07,160941
Middle East,2011-07,41005
Oceania,2011-07,195314
Germany,2011-07,39765
Europe,2011-07,201770
France,2011-07,22788
United Kingdom,2011-07,69555
North America,2011-07,29646
Number Of Air Passenger Arrivals,2011-06,1990616
South East Asia,2011-06,897158
Vietnam,2011-06,69290
Indonesia,2011-06,302839
Malaysia,2011-06,218226
Philippines,2011-06,98305
Thailand,2011-06,173016
North East Asia,2011-06,483003
Mainland China,2011-06,162095
Hong Kong,2011-06,152993
Japan,2011-06,64928
South Asia,2011-06,152301
Middle East,2011-06,44873
Oceania,2011-06,212382
Germany,2011-06,32638
Europe,2011-06,160259
France,2011-06,19392
United Kingdom,2011-06,55929
North America,2011-06,32340
Number Of Air Passenger Arrivals,2011-05,1818880
South East Asia,2011-05,840917
Vietnam,2011-05,60644
Indonesia,2011-05,254322
Malaysia,2011-05,201154
Philippines,2011-05,116851
Thailand,2011-05,174268
North East Asia,2011-05,416112
Mainland China,2011-05,141638
Hong Kong,2011-05,128875
Japan,2011-05,55701
South Asia,2011-05,158232
Middle East,2011-05,37468
Oceania,2011-05,191006
Germany,2011-05,29642
Europe,2011-05,137852
France,2011-05,18347
United Kingdom,2011-05,47005
North America,2011-05,29493
Number Of Air Passenger Arrivals,2011-04,1831259
South East Asia,2011-04,825559
Vietnam,2011-04,61685
Indonesia,2011-04,245463
Malaysia,2011-04,192641
Philippines,2011-04,116817
Thailand,2011-04,173747
North East Asia,2011-04,434391
Mainland China,2011-04,154413
Hong Kong,2011-04,142376
Japan,2011-04,49521
South Asia,2011-04,146445
Middle East,2011-04,37344
Oceania,2011-04,211523
Germany,2011-04,29729
Europe,2011-04,146056
France,2011-04,17710
United Kingdom,2011-04,53413
North America,2011-04,20742
Number Of Air Passenger Arrivals,2011-03,1816430
South East Asia,2011-03,842755
Vietnam,2011-03,66707
Indonesia,2011-03,252654
Malaysia,2011-03,198590
Philippines,2011-03,95757
Thailand,2011-03,190704
North East Asia,2011-03,435743
Mainland China,2011-03,141487
Hong Kong,2011-03,134584
Japan,2011-03,77057
South Asia,2011-03,142993
Middle East,2011-03,40205
Oceania,2011-03,187105
Germany,2011-03,29107
Europe,2011-03,136843
France,2011-03,16188
United Kingdom,2011-03,48552
North America,2011-03,23466
Number Of Air Passenger Arrivals,2011-02,1670471
South East Asia,2011-02,763718
Vietnam,2011-02,65228
Indonesia,2011-02,220549
Malaysia,2011-02,187806
Philippines,2011-02,90627
Thailand,2011-02,165197
North East Asia,2011-02,405064
Mainland China,2011-02,130477
Hong Kong,2011-02,112905
Japan,2011-02,84745
South Asia,2011-02,141115
Middle East,2011-02,31315
Oceania,2011-02,162797
Germany,2011-02,29507
Europe,2011-02,139314
France,2011-02,16707
United Kingdom,2011-02,50957
North America,2011-02,20096
Number Of Air Passenger Arrivals,2011-01,1859658
South East Asia,2011-01,804680
Vietnam,2011-01,63867
Indonesia,2011-01,235972
Malaysia,2011-01,183393
Philippines,2011-01,112044
Thailand,2011-01,170538
North East Asia,2011-01,440448
Mainland China,2011-01,140411
Hong Kong,2011-01,131726
Japan,2011-01,79378
South Asia,2011-01,169199
Middle East,2011-01,35311
Oceania,2011-01,204997
Germany,2011-01,32698
Europe,2011-01,161931
France,2011-01,19587
United Kingdom,2011-01,60398
North America,2011-01,29975
Number Of Air Passenger Arrivals,2010-12,2016952
South East Asia,2010-12,854128
Vietnam,2010-12,66770
Indonesia,2010-12,276477
Malaysia,2010-12,209710
Philippines,2010-12,83224
Thailand,2010-12,174932
North East Asia,2010-12,501015
Mainland China,2010-12,151054
Hong Kong,2010-12,147100
Japan,2010-12,99828
South Asia,2010-12,164233
Middle East,2010-12,43803
Oceania,2010-12,244568
Germany,2010-12,32188
Europe,2010-12,165849
France,2010-12,20074
United Kingdom,2010-12,60579
North America,2010-12,27820
Number Of Air Passenger Arrivals,2010-11,1738373
South East Asia,2010-11,745740
Vietnam,2010-11,58259
Indonesia,2010-11,231656
Malaysia,2010-11,186042
Philippines,2010-11,81447
Thailand,2010-11,153855
North East Asia,2010-11,432257
Mainland China,2010-11,137722
Hong Kong,2010-11,129246
Japan,2010-11,85047
South Asia,2010-11,139003
Middle East,2010-11,34665
Oceania,2010-11,196839
Germany,2010-11,33632
Europe,2010-11,154610
France,2010-11,19302
United Kingdom,2010-11,55268
North America,2010-11,26316
Number Of Air Passenger Arrivals,2010-10,1737287
South East Asia,2010-10,759149
Vietnam,2010-10,60356
Indonesia,2010-10,248815
Malaysia,2010-10,181296
Philippines,2010-10,79042
Thailand,2010-10,156024
North East Asia,2010-10,413794
Mainland China,2010-10,142765
Hong Kong,2010-10,118658
Japan,2010-10,72918
South Asia,2010-10,137608
Middle East,2010-10,33280
Oceania,2010-10,169456
Germany,2010-10,41020
Europe,2010-10,188947
France,2010-10,22244
United Kingdom,2010-10,66880
North America,2010-10,24240
Number Of Air Passenger Arrivals,2010-09,1644663
South East Asia,2010-09,701385
Vietnam,2010-09,56752
Indonesia,2010-09,239771
Malaysia,2010-09,174098
Philippines,2010-09,69636
Thailand,2010-09,132630
North East Asia,2010-09,397575
Mainland China,2010-09,140638
Hong Kong,2010-09,117514
Japan,2010-09,69528
South Asia,2010-09,125849
Middle East,2010-09,32420
Oceania,2010-09,193515
Germany,2010-09,36473
Europe,2010-09,164621
France,2010-09,20282
United Kingdom,2010-09,58401
North America,2010-09,19352
Number Of Air Passenger Arrivals,2010-08,1681797
South East Asia,2010-08,726611
Vietnam,2010-08,63650
Indonesia,2010-08,232842
Malaysia,2010-08,178953
Philippines,2010-08,71934
Thailand,2010-08,146474
North East Asia,2010-08,410613
Mainland China,2010-08,135914
Hong Kong,2010-08,122004
Japan,2010-08,76845
South Asia,2010-08,133801
Middle East,2010-08,32735
Oceania,2010-08,183654
Germany,2010-08,36704
Europe,2010-08,162864
France,2010-08,20267
United Kingdom,2010-08,56557
North America,2010-08,21295
Number Of Air Passenger Arrivals,2010-07,1794126
South East Asia,2010-07,767248
Vietnam,2010-07,70993
Indonesia,2010-07,254470
Malaysia,2010-07,187621
Philippines,2010-07,76552
Thailand,2010-07,142478
North East Asia,2010-07,441508
Mainland China,2010-07,151451
Hong Kong,2010-07,134574
Japan,2010-07,73313
South Asia,2010-07,141809
Middle East,2010-07,38819
Oceania,2010-07,183879
Germany,2010-07,37603
Europe,2010-07,180899
France,2010-07,22998
United Kingdom,2010-07,63403
North America,2010-07,28118
Number Of Air Passenger Arrivals,2010-06,1787760
South East Asia,2010-06,764860
Vietnam,2010-06,65851
Indonesia,2010-06,263831
Malaysia,2010-06,199485
Philippines,2010-06,82578
Thailand,2010-06,118092
North East Asia,2010-06,446639
Mainland China,2010-06,155322
Hong Kong,2010-06,130398
Japan,2010-06,74139
South Asia,2010-06,147646
Middle East,2010-06,38853
Oceania,2010-06,200538
Germany,2010-06,31676
Europe,2010-06,149182
France,2010-06,20295
United Kingdom,2010-06,51586
North America,2010-06,30523
Number Of Air Passenger Arrivals,2010-05,1613748
South East Asia,2010-05,698934
Vietnam,2010-05,57631
Indonesia,2010-05,224962
Malaysia,2010-05,183239
Philippines,2010-05,92053
Thailand,2010-05,106731
North East Asia,2010-05,388872
Mainland China,2010-05,132909
Hong Kong,2010-05,112251
Japan,2010-05,63175
South Asia,2010-05,153846
Middle East,2010-05,33668
Oceania,2010-05,174766
Germany,2010-05,29094
Europe,2010-05,126845
France,2010-05,18081
United Kingdom,2010-05,40304
North America,2010-05,27758
Number Of Air Passenger Arrivals,2010-04,1617186
South East Asia,2010-04,709163
Vietnam,2010-04,59826
Indonesia,2010-04,206821
Malaysia,2010-04,180732
Philippines,2010-04,90688
Thailand,2010-04,135764
North East Asia,2010-04,399113
Mainland China,2010-04,142842
Hong Kong,2010-04,109635
Japan,2010-04,70447
South Asia,2010-04,145843
Middle East,2010-04,34992
Oceania,2010-04,181622
Germany,2010-04,24963
Europe,2010-04,116623
France,2010-04,15361
United Kingdom,2010-04,36271
North America,2010-04,18841
Number Of Air Passenger Arrivals,2010-03,1674208
South East Asia,2010-03,729547
Vietnam,2010-03,59732
Indonesia,2010-03,213416
Malaysia,2010-03,185620
Philippines,2010-03,80097
Thailand,2010-03,152912
North East Asia,2010-03,400572
Mainland China,2010-03,138597
Hong Kong,2010-03,115341
Japan,2010-03,72459
South Asia,2010-03,131374
Middle East,2010-03,35362
Oceania,2010-03,194772
Germany,2010-03,32052
Europe,2010-03,148767
France,2010-03,18873
United Kingdom,2010-03,50859
North America,2010-03,22407
Number Of Air Passenger Arrivals,2010-02,1499346
South East Asia,2010-02,645369
Vietnam,2010-02,50076
Indonesia,2010-02,178561
Malaysia,2010-02,169690
Philippines,2010-02,69734
Thailand,2010-02,145169
North East Asia,2010-02,355940
Mainland China,2010-02,125838
Hong Kong,2010-02,96701
Japan,2010-02,65248
South Asia,2010-02,126665
Middle East,2010-02,28927
Oceania,2010-02,168186
Germany,2010-02,28009
Europe,2010-02,143125
France,2010-02,17665
United Kingdom,2010-02,52041
North America,2010-02,20596
Number Of Air Passenger Arrivals,2010-01,1681005
South East Asia,2010-01,709658
Vietnam,2010-01,54942
Indonesia,2010-01,189853
Malaysia,2010-01,175570
Philippines,2010-01,89767
Thailand,2010-01,162388
North East Asia,2010-01,374274
Mainland China,2010-01,124009
Hong Kong,2010-01,101682
Japan,2010-01,66201
South Asia,2010-01,163322
Middle East,2010-01,32479
Oceania,2010-01,194993
Germany,2010-01,31012
Europe,2010-01,164018
France,2010-01,20511
United Kingdom,2010-01,61494
North America,2010-01,27459
Number Of Air Passenger Arrivals,2009-12,1888091
South East Asia,2009-12,788411
Vietnam,2009-12,58713
Indonesia,2009-12,231400
Malaysia,2009-12,220762
Philippines,2009-12,68183
Thailand,2009-12,167907
North East Asia,2009-12,455308
Mainland China,2009-12,154763
Hong Kong,2009-12,118118
Japan,2009-12,87539
South Asia,2009-12,152293
Middle East,2009-12,38452
Oceania,2009-12,245820
Germany,2009-12,30497
Europe,2009-12,165263
France,2009-12,20390
United Kingdom,2009-12,61666
North America,2009-12,25394
Number Of Air Passenger Arrivals,2009-11,1609236
South East Asia,2009-11,688244
Vietnam,2009-11,52515
Indonesia,2009-11,194824
Malaysia,2009-11,187313
Philippines,2009-11,69139
Thailand,2009-11,149276
North East Asia,2009-11,372884
Mainland China,2009-11,132164
Hong Kong,2009-11,102447
Japan,2009-11,68673
South Asia,2009-11,124860
Middle East,2009-11,32091
Oceania,2009-11,200150
Germany,2009-11,29923
Europe,2009-11,154100
France,2009-11,19494
United Kingdom,2009-11,58320
North America,2009-11,24512
Number Of Air Passenger Arrivals,2009-10,1602157
South East Asia,2009-10,671581
Vietnam,2009-10,51077
Indonesia,2009-10,197032
Malaysia,2009-10,186282
Philippines,2009-10,65790
Thailand,2009-10,140533
North East Asia,2009-10,369721
Mainland China,2009-10,135683
Hong Kong,2009-10,96689
Japan,2009-10,72524
South Asia,2009-10,132226
Middle East,2009-10,30636
Oceania,2009-10,180229
Germany,2009-10,36183
Europe,2009-10,182691
France,2009-10,22914
United Kingdom,2009-10,64416
North America,2009-10,21771
Number Of Air Passenger Arrivals,2009-09,1481373
South East Asia,2009-09,614709
Vietnam,2009-09,44435
Indonesia,2009-09,192745
Malaysia,2009-09,167210
Philippines,2009-09,63864
Thailand,2009-09,120269
North East Asia,2009-09,335487
Mainland China,2009-09,115920
Hong Kong,2009-09,89981
Japan,2009-09,72574
South Asia,2009-09,116083
Middle East,2009-09,30129
Oceania,2009-09,189468
Germany,2009-09,31887
Europe,2009-09,165898
France,2009-09,19630
United Kingdom,2009-09,62712
North America,2009-09,18494
Number Of Air Passenger Arrivals,2009-08,1529324
South East Asia,2009-08,648236
Vietnam,2009-08,52123
Indonesia,2009-08,202829
Malaysia,2009-08,176720
Philippines,2009-08,64934
Thailand,2009-08,123153
North East Asia,2009-08,350301
Mainland China,2009-08,112847
Hong Kong,2009-08,99959
Japan,2009-08,72011
