DataSeries,year_month,arrivals
South East Asia,2024-09,1067025
Vietnam,2024-09,89246
Indonesia,2024-09,309639
Other Regions,2024-09,9804
Malaysia,2024-09,307150
Philippines,2024-09,108697
Thailand,2024-09,212885
North East Asia,2024-09,711663
Mainland China,2024-09,319703
Hong Kong,2024-09,94312
Japan,2024-09,136102
South Asia,2024-09,264963
Middle East,2024-09,81600
Oceania,2024-09,309643
Germany,2024-09,25495
Europe,2024-09,222514
France,2024-09,43965
United Kingdom,2024-09,71966
North America,2024-09,51442
Number Of Air Passenger Arrivals,2024-08,2820647
South East Asia,2024-08,1129553
Vietnam,2024-08,103303
Indonesia,2024-08,321967
Other Regions,2024-08,10587
Malaysia,2024-08,313313
Philippines,2024-08,120640
Thailand,2024-08,225976
North East Asia,2024-08,757520
Mainland China,2024-08,363853
Hong Kong,2024-08,97783
Japan,2024-08,141052
South Asia,2024-08,275101
Middle East,2024-08,78563
Oceania,2024-08,291909
Germany,2024-08,43692
Europe,2024-08,224129
France,2024-08,26144
United Kingdom,2024-08,72280
North America,2024-08,53285
Number Of Air Passenger Arrivals,2024-07,2905055
South East Asia,2024-07,1150805
Vietnam,2024-07,106354
Indonesia,2024-07,315797
Other Regions,2024-07,9807
Malaysia,2024-07,314827
Philippines,2024-07,129017
Thailand,2024-07,237235
North East Asia,2024-07,800012
Mainland China,2024-07,383622
Hong Kong,2024-07,105586
Japan,2024-07,138181
South Asia,2024-07,270467
Middle East,2024-07,94572
Oceania,2024-07,281434
Germany,2024-07,47057
Europe,2024-07,238398
France,2024-07,26993
United Kingdom,2024-07,76223
North America,2024-07,59560
Number Of Air Passenger Arrivals,2024-06,2870988
South East Asia,2024-06,1157174
Vietnam,2024-06,102272
Indonesia,2024-06,316588
Other Regions,2024-06,9313
Malaysia,2024-06,315011
Philippines,2024-06,142023
Thailand,2024-06,234730
North East Asia,2024-06,768707
Mainland China,2024-06,334891
Hong Kong,2024-06,101093
Japan,2024-06,145927
South Asia,2024-06,279834
Middle East,2024-06,79260
Oceania,2024-06,307654
Germany,2024-06,39254
Europe,2024-06,205921
France,2024-06,24058
United Kingdom,2024-06,65066
North America,2024-06,63125
Number Of Air Passenger Arrivals,2024-05,2688803
South East Asia,2024-05,1092938
Vietnam,2024-05,96072
Indonesia,2024-05,315076
Other Regions,2024-05,8943
Malaysia,2024-05,292170
Philippines,2024-05,121360
Thailand,2024-05,222001
North East Asia,2024-05,683118
Mainland China,2024-05,284250
Hong Kong,2024-05,83052
Japan,2024-05,140060
South Asia,2024-05,310967
Middle East,2024-05,65409
Oceania,2024-05,284377
Germany,2024-05,37376
Europe,2024-05,183255
France,2024-05,22187
United Kingdom,2024-05,54799
North America,2024-05,59796
Number Of Air Passenger Arrivals,2024-04,2732578
South East Asia,2024-04,1101447
Vietnam,2024-04,100406
Indonesia,2024-04,304889
Other Regions,2024-04,9120
Malaysia,2024-04,292736
Philippines,2024-04,116665
Thailand,2024-04,235029
North East Asia,2024-04,742647
Mainland China,2024-04,307829
Hong Kong,2024-04,95685
Japan,2024-04,149604
South Asia,2024-04,301695
Middle East,2024-04,64919
Oceania,2024-04,281650
Germany,2024-04,38283
Europe,2024-04,183036
France,2024-04,24537
United Kingdom,2024-04,51949
North America,2024-04,48064
Number Of Air Passenger Arrivals,2024-03,2838535
South East Asia,2024-03,1162692
Vietnam,2024-03,113009
Indonesia,2024-03,295673
Other Regions,2024-03,11561
Malaysia,2024-03,296535
Philippines,2024-03,138363
Thailand,2024-03,264799
North East Asia,2024-03,763730
Mainland China,2024-03,324409
Hong Kong,2024-03,101577
Japan,2024-03,148746
South Asia,2024-03,291701
Middle East,2024-03,73978
Oceania,2024-03,298576
Germany,2024-03,39368
Europe,2024-03,189048
France,2024-03,21926
United Kingdom,2024-03,59507
North America,2024-03,47249
Number Of Air Passenger Arrivals,2024-02,2645916
South East Asia,2024-02,1084118
Vietnam,2024-02,93909
Indonesia,2024-02,283447
Other Regions,2024-02,9896
Malaysia,2024-02,294434
Philippines,2024-02,123896
Thailand,2024-02,238636
North East Asia,2024-02,712881
Mainland China,2024-02,324056
Hong Kong,2024-02,85465
Japan,2024-02,133502
South Asia,2024-02,276610
Middle East,2024-02,72103
Oceania,2024-02,263754
Germany,2024-02,38600
Europe,2024-02,184125
France,2024-02,22125
United Kingdom,2024-02,55732
North America,2024-02,42429
Number Of Air Passenger Arrivals,2024-01,2839143
South East Asia,2024-01,1131172
Vietnam,2024-01,101950
Indonesia,2024-01,307312
Other Regions,2024-01,11806
Malaysia,2024-01,282679
Philippines,2024-01,147579
Thailand,2024-01,241208
North East Asia,2024-01,744869
Mainland China,2024-01,301732
Hong Kong,2024-01,97242
Japan,2024-01,143597
South Asia,2024-01,315133
Middle East,2024-01,79984
Oceania,2024-01,306838
Germany,2024-01,39980
Europe,2024-01,201764
France,2024-01,25321
United Kingdom,2024-01,60395
North America,2024-01,47577
Number Of Air Passenger Arrivals,2023-12,2911784
South East Asia,2023-12,1162841
Vietnam,2023-12,112292
Indonesia,2023-12,320717
Other Regions,2023-12,10416
Malaysia,2023-12,321354
Philippines,2023-12,118907
Thailand,2023-12,234375
North East Asia,2023-12,747856
Mainland China,2023-12,265540
Hong Kong,2023-12,110292
Japan,2023-12,158070
South Asia,2023-12,293184
Middle East,2023-12,92048
Oceania,2023-12,347824
Germany,2023-12,38513
Europe,2023-12,205445
France,2023-12,25892
United Kingdom,2023-12,63883
North America,2023-12,52170
Number Of Air Passenger Arrivals,2023-11,2505727
South East Asia,2023-11,1038285
Vietnam,2023-11,99028
Indonesia,2023-11,286363
Other Regions,2023-11,8153
Malaysia,2023-11,269785
Philippines,2023-11,113793
Thailand,2023-11,218773
North East Asia,2023-11,615713
Mainland China,2023-11,190153
Hong Kong,2023-11,85882
Japan,2023-11,147313
South Asia,2023-11,253469
Middle East,2023-11,72845
Oceania,2023-11,284896
Germany,2023-11,36523
Europe,2023-11,184255
France,2023-11,24260
United Kingdom,2023-11,54274
North America,2023-11,48111
Number Of Air Passenger Arrivals,2023-10,2550710
South East Asia,2023-10,1064962
Vietnam,2023-10,99917
Indonesia,2023-10,312292
Other Regions,2023-10,9380
Malaysia,2023-10,272799
Philippines,2023-10,109914
Thailand,2023-10,222667
North East Asia,2023-10,605863
Mainland China,2023-10,205807
Hong Kong,2023-10,81671
Japan,2023-10,131578
South Asia,2023-10,249750
Middle East,2023-10,86059
Oceania,2023-10,259029
Germany,2023-10,42852
Europe,2023-10,224682
France,2023-10,28918
United Kingdom,2023-10,65715
North America,2023-10,50985
Number Of Air Passenger Arrivals,2023-09,2434215
South East Asia,2023-09,1012695
Vietnam,2023-09,93035
Indonesia,2023-09,309171
Other Regions,2023-09,9080
