jet_fuel_usd_per_gallon,fuel_lag1,fuel_lag2,fuel_lag3,fuel_change_3m,fuel_change_6m,fuel_volatility_6m,gdp_per_capita,gdp_yoy_change,lcc_share,month,quarter,is_peak_season,log_arrivals_diff,country,year_month
1.812,1.7108,1.7225,2.42325,-25.22438873413804,8.933509678970797,0.29639483801173033,36431.5658906555,5.001082151688285,0.0,1,1,0,0.0247514598790008,France,2006-01-01
1.763,1.812,1.7108,1.7225,2.3512336719883953,-3.5426070305019874,0.30295375953545545,36431.5658906555,5.001082151688285,0.0,2,1,0,-0.1322712107624646,France,2006-02-01
1.8674,1.763,1.812,1.7108,9.153612345101703,-15.844975214060387,0.2709122965401655,36431.5658906555,5.001082151688285,0.0,3,1,0,-0.0298733171049647,France,2006-03-01
2.073,1.8674,1.763,1.812,14.403973509933765,-14.453729495512224,0.13480531764981168,36431.5658906555,5.001082151688285,0.0,4,2,0,0.07500183398807,France,2006-04-01
2.069,2.073,1.8674,1.763,17.35677821894499,20.116110304789547,0.15493991953872507,36431.5658906555,5.001082151688285,0.0,5,2,0,-0.1455012547509202,France,2006-05-01
2.0808,2.069,2.073,1.8674,11.427653421869977,21.627308861351402,0.14630964424808068,36431.5658906555,5.001082151688285,0.0,6,2,1,0.1717116777186476,France,2006-06-01
2.1505,2.0808,2.069,2.073,3.738543174143749,18.68101545253864,0.15034518172082065,36431.5658906555,5.001082151688285,0.0,7,3,1,0.1675438092029058,France,2006-07-01
2.15275,2.1505,2.0808,2.069,4.0478492025133095,22.107203630175842,0.10429163796776761,36431.5658906555,5.001082151688285,0.0,8,3,1,-0.1371374800777971,France,2006-08-01
1.8534,2.15275,2.1505,2.0808,-10.928489042675892,-0.7497054728499486,0.10963207749863443,36431.5658906555,5.001082151688285,0.0,9,3,0,0.0190117717516162,France,2006-09-01
1.747,1.8534,2.15275,2.1505,-18.763078353871187,-15.726000964785324,0.1686990587308257,36431.5658906555,5.001082151688285,0.0,10,4,0,0.1020322926411996,France,2006-10-01
1.7085,1.747,1.8534,2.15275,-20.63639530832657,-17.423876268728854,0.20360303472689184,36431.5658906555,5.001082151688285,0.0,11,4,0,-0.128962375928026,France,2006-11-01
1.8098,1.7085,1.747,1.8534,-2.3524333657062635,-13.023836985774695,0.19846478885854438,36431.5658906555,5.001082151688285,0.0,12,4,1,-0.0664230323531622,France,2006-12-01
1.646,1.8098,1.7085,1.747,-5.781339439038358,-23.459660544059524,0.1788733231926996,41486.1907828787,13.874300400356066,0.0,1,1,0,0.0115184828832077,France,2007-01-01
1.725,1.646,1.8098,1.7085,0.9657594381036194,-19.869933805597494,0.07405696231055275,41486.1907828787,13.874300400356066,0.0,2,1,0,-0.1206355173364421,France,2007-02-01
1.8418,1.725,1.646,1.8098,1.7681511769256364,-0.6258767670227594,0.07084574087409892,41486.1907828787,13.874300400356066,0.0,3,1,0,0.0398143308885448,France,2007-03-01
2.0345,1.8418,1.725,1.646,23.60267314702309,16.456783056668556,0.1373677934112164,41486.1907828787,13.874300400356066,0.0,4,2,0,-0.0413394795545922,France,2007-04-01
2.0460000000000003,2.0345,1.8418,1.725,18.608695652173914,19.75417032484639,0.16209807422257255,41486.1907828787,13.874300400356066,0.0,5,2,0,-0.1211981777624213,France,2007-05-01
2.0892,2.0460000000000003,2.0345,1.8418,13.432511673363013,15.438169963531866,0.1863760115107806,41486.1907828787,13.874300400356066,0.0,6,2,1,0.1832699919471636,France,2007-06-01
2.13325,2.0892,2.0460000000000003,2.0345,4.85377242565741,29.60206561360874,0.15927534779954672,41486.1907828787,13.874300400356066,0.0,7,3,1,0.0985141314404352,France,2007-07-01
2.098,2.13325,2.0892,2.0460000000000003,2.5415444770283235,21.623188405797087,0.10375782580926877,41486.1907828787,13.874300400356066,0.0,8,3,1,-0.0823672867716691,France,2007-08-01
2.261,2.098,2.13325,2.0892,8.22324334673561,22.76034314257791,0.08211433340166567,41486.1907828787,13.874300400356066,0.0,9,3,0,-0.0413463213797218,France,2007-09-01
2.34625,2.261,2.098,2.13325,9.984765029883992,15.323175227328578,0.1161266406414418,41486.1907828787,13.874300400356066,0.0,10,4,0,0.2329830558621672,France,2007-10-01
2.661,2.34625,2.261,2.098,26.835081029551965,30.05865102639296,0.21889996954469082,41486.1907828787,13.874300400356066,0.0,11,4,0,-0.0639678441269513,France,2007-11-01
2.59975,2.661,2.34625,2.261,14.982308712958847,24.43758376412024,0.2355909988730467,41486.1907828787,13.874300400356066,0.0,12,4,1,0.062243705768811,France,2007-12-01
2.61575,2.59975,2.661,2.34625,11.486414491209374,22.618071018399142,0.22911904202109992,45464.8181385158,9.590245044331901,0.0,1,1,0,0.0111039348128549,France,2008-01-01
2.7088,2.61575,2.59975,2.661,1.7963171739947326,29.11344137273595,0.18300129894803108,45464.8181385158,9.590245044331901,0.0,2,1,0,-0.137475745789338,France,2008-02-01
3.1325,2.7088,2.61575,2.59975,20.49235503413791,38.54489164086685,0.2560708796733179,45464.8181385158,9.590245044331901,0.0,3,1,0,0.088670523533338,France,2008-03-01
3.3475,3.1325,2.7088,2.61575,27.974768230908943,42.67448055407566,0.3163126248929485,45464.8181385158,9.590245044331901,0.0,4,2,0,0.0020533347567628,France,2008-04-01
3.6986,3.3475,3.1325,2.7088,36.54016538688718,38.992859827132655,0.45105105919396826,45464.8181385158,9.590245044331901,0.0,5,2,0,-0.1239821929055011,France,2008-05-01
3.87125,3.6986,3.3475,3.1325,23.58339984038309,48.908548898932594,0.5104992259217124,45464.8181385158,9.590245044331901,0.0,6,2,1,0.1408278805792342,France,2008-06-01
3.95825,3.87125,3.6986,3.3475,18.244958924570565,51.323712128452655,0.48129282631955744,45464.8181385158,9.590245044331901,0.0,7,3,1,0.1077573100611353,France,2008-07-01
3.3259999999999996,3.95825,3.87125,3.6986,-10.07408208511329,22.784997046662703,0.33384016634711267,45464.8181385158,9.590245044331901,0.0,8,3,1,-0.0813708242473758,France,2008-08-01
3.411,3.3259999999999996,3.95825,3.87125,-11.888924765902487,8.8906624102155,0.27790947267051047,45464.8181385158,9.590245044331901,0.0,9,3,0,-0.0279909994987406,France,2008-09-01
2.365,3.411,3.3259999999999996,3.95825,-40.2513737131308,-29.35026138909633,0.5815288900819985,45464.8181385158,9.590245044331901,0.0,10,4,0,0.1030267923116046,France,2008-10-01
1.8735,2.365,3.411,3.3259999999999996,-43.67107636800962,-49.345698372357106,0.8386584177522263,45464.8181385158,9.590245044331901,0.0,11,4,0,-0.1267719129663209,France,2008-11-01
1.38175,1.8735,2.365,3.411,-59.491351509821165,-64.30739425250242,1.0011470421471567,45464.8181385158,9.590245044331901,0.0,12,4,1,0.067031829736802,France,2008-12-01
