airline_iata,destination_airport_iata,destination_city,destination_country,iso_country,distance_km,carrier_type,gdp_per_capita,gdp_yoy_change,lcc_share,fuel_cost_per_seat_baseline,rf_pred_at_baseline,fuel_elasticity_per_dollar
SQ,SYD,Sydney,Australia,AU,6294.727208310837,FSC,64603.9856308464,-0.6984368540630004,0.0,1296.24,0.14789753317178256,0.004783775317958622
SQ,MEL,Melbourne,Australia,AU,6033.9042499072075,FSC,64603.9856308464,-0.6984368540630004,0.0,1242.53,0.14789753317178256,0.004783775317958622
SQ,BNE,Brisbane,Australia,AU,6143.832009979592,FSC,64603.9856308464,-0.6984368540630004,0.0,1265.17,0.14789753317178256,0.004783775317958622
SQ,PER,Perth,Australia,AU,3912.3581536025526,FSC,64603.9856308464,-0.6984368540630004,0.0,805.65,0.14789753317178256,0.004783775317958622
SQ,ADL,Adelaide,Australia,AU,5403.776997833832,FSC,64603.9856308464,-0.6984368540630004,0.0,1112.77,0.14789753317178256,0.004783775317958622
SQ,CNS,Cairns,Australia,AU,5007.319580384273,FSC,64603.9856308464,-0.6984368540630004,0.0,1031.13,0.14789753317178256,0.004783775317958622
SQ,AKL,Auckland,New Zealand,NZ,8409.14482327899,FSC,49205.1792146792,0.2633121006151429,0.0,1731.65,0.14802918965481712,0.004783775317958622
SQ,CHC,Christchurch,New Zealand,NZ,8404.56922492523,FSC,49205.1792146792,0.2633121006151429,0.0,1730.71,0.14802918965481712,0.004783775317958622
SQ,NAN,Nadi,Fiji,FJ,8305.479175194369,FSC,6425.74151715712,8.429265953254173,0.0,1710.31,0.01360280479303627,0.0024788880560103668
SQ,POM,Port Moresby,Papua New Guinea,PG,4935.501063119663,FSC,3006.70564478923,1.3700743307052399,0.0,1016.34,-0.05271774818729805,0.005229436382428003
SQ,JNB,Johannesburg,South Africa,ZA,8656.314250774272,FSC,6267.186814093,3.8598644705778673,0.0,1782.55,0.011775775861481041,0.003212436784134456
SQ,LHR,London,United Kingdom,GB,10881.725383574843,FSC,53246.3676145108,6.611137104963394,0.0,2240.82,0.14938062009223824,0.005870244158956761
SQ,LGW,London,United Kingdom,GB,10870.602522819794,FSC,53246.3676145108,6.611137104963394,0.0,2238.53,0.14938062009223824,0.005870244158956761
SQ,MAN,Manchester,United Kingdom,GB,10954.565284719441,FSC,53246.3676145108,6.611137104963394,0.0,2255.82,0.14938062009223824,0.005870244158956761
SQ,CDG,Paris,France,FR,10722.988878257625,FSC,46103.0840855884,3.1385711934994065,0.0,2208.13,0.14611690697546484,0.004916548759471728
SQ,FRA,Frankfurt,Germany,DE,10278.796798831168,FSC,56103.7323182554,2.422496930095974,0.0,2116.66,0.1464042729792942,0.004783775317958622
SQ,MUC,Munich,Germany,DE,10057.059692053997,FSC,56103.7323182554,2.422496930095974,0.0,2071.0,0.1464042729792942,0.004783775317958622
SQ,ZRH,Zurich,Switzerland,CH,10304.399725302621,FSC,103998.186685604,3.3537249190745744,0.0,2121.93,0.14514755071955782,0.005747433028952753
SQ,AMS,Amsterdam,Netherlands,NL,10512.487403154772,FSC,67520.4218956281,6.3052519751847225,0.0,2164.78,0.14913688188813176,0.005870244158956761
SQ,BRU,Brussels,Belgium,BE,10553.931664898779,FSC,56614.5679499036,2.392941199169596,0.0,2173.32,0.1464042729792942,0.004783775317958622
SQ,BCN,Barcelona,Spain,ES,10898.10985045129,FSC,35326.7683069278,5.474378476950292,0.0,2244.19,0.12175278643735955,0.0025231058792527516
SQ,FCO,Rome,Italy,IT,10050.541370132942,FSC,40385.3413957669,2.82163900152681,0.0,2069.66,0.14215285988981038,0.00201162817957079
SQ,MXP,Milan,Italy,IT,10307.784246970348,FSC,40385.3413957669,2.82163900152681,0.0,2122.63,0.14215285988981038,0.00201162817957079
SQ,CPH,Copenhagen,Denmark,DK,9966.175006678852,FSC,71026.4832271897,4.383863973674185,0.0,2052.28,0.1459184931323122,0.005747433028952753
SQ,ATH,Athens,Greece,GR,9042.356535126519,FSC,24626.1481858973,5.493718726204655,0.0,1862.05,0.1209473505488173,0.0025231058792527655
SQ,HEL,Helsinki,Finland,FI,9273.85663857567,FSC,53149.7671934051,0.5971037145227065,0.0,1909.72,0.14781702645269312,0.004783775317958622
SQ,IST,Istanbul,Turkey,TR,8679.913824829375,FSC,15892.7157287241,18.823201267601462,0.0,1787.41,0.10403280112246951,0.0034502357656018695
SQ,LAX,Los Angeles,United States,US,14100.581341209168,FSC,84534.0407841548,4.3214623103204675,0.0,2903.66,0.1459184931323122,0.005747433028952753
SQ,SFO,San Francisco,United States,US,13580.524449158358,FSC,84534.0407841548,4.3214623103204675,0.0,2796.57,0.1459184931323122,0.005747433028952753
SQ,JFK,New York,United States,US,15339.00904411948,FSC,84534.0407841548,4.3214623103204675,0.0,3158.69,0.1459184931323122,0.005747433028952753
SQ,EWR,Newark,United States,US,15335.209471971677,FSC,84534.0407841548,4.3214623103204675,0.0,3157.9,0.1459184931323122,0.005747433028952753
SQ,SEA,Seattle,United States,US,12977.936191266415,FSC,84534.0407841548,4.3214623103204675,0.0,2672.48,0.1459184931323122,0.005747433028952753
SQ,YVR,Vancouver,Canada,CA,12811.713806135442,FSC,54340.3477224733,0.22135465017880662,0.0,2638.25,0.14802918965481712,0.004783775317958622
SQ,DXB,Dubai,United Arab Emirates,AE,5844.868916309725,FSC,50273.5060469837,0.8481705129206762,0.0,1203.6,0.14781702645269312,0.004783775317958622
SQ,DOH,Doha,Qatar,QA,6205.62439724434,FSC,76688.6941743178,-6.267996735115522,0.0,1277.89,0.14801633923069138,0.004783775317958622
SQ,AUH,Abu Dhabi,United Arab Emirates,AE,5885.173705350141,FSC,50273.5060469837,0.8481705129206762,0.0,1211.9,0.14781702645269312,0.004783775317958622
SQ,JED,Jeddah,Saudi Arabia,SA,7359.0234091033935,FSC,35121.6628687742,-2.863041212160644,0.0,1515.41,0.12740413187780097,0.0025928661464538205
SQ,BOM,Mumbai,India,IN,3920.7383932602384,FSC,2694.73780859961,6.50631098394534,0.0,807.38,-0.05765061780325644,0.006868825334909241
SQ,DEL,New Delhi,India,IN,4157.806658778596,FSC,2694.73780859961,6.50631098394534,0.0,856.2,-0.05765061780325644,0.006868825334909241
SQ,BLR,Bengaluru,India,IN,3178.5092885002587,FSC,2694.73780859961,6.50631098394534,0.0,654.53,-0.05765061780325644,0.006868825334909241
SQ,MAA,Chennai,India,IN,2924.3423557168326,FSC,2694.73780859961,6.50631098394534,0.0,602.2,-0.05765061780325644,0.006868825334909241
SQ,HYD,Hyderabad,India,IN,3304.9443799138326,FSC,2694.73780859961,6.50631098394534,0.0,680.57,-0.05765061780325644,0.006868825334909241
SQ,CCU,Kolkata,India,IN,2902.3828904577344,FSC,2694.73780859961,6.50631098394534,0.0,597.67,-0.05765061780325644,0.006868825334909241
SQ,COK,Kochi,India,IN,3201.775528509259,FSC,2694.73780859961,6.50631098394534,0.0,659.33,-0.05765061780325644,0.006868825334909241
SQ,TRV,Thiruvananthapuram,India,IN,3099.653924197677,FSC,2694.73780859961,6.50631098394534,0.0,638.3,-0.05765061780325644,0.006868825334909241
SQ,AMD,Ahmedabad,India,IN,4155.494225523093,FSC,2694.73780859961,6.50631098394534,0.0,855.72,-0.05765061780325644,0.006868825334909241
SQ,TRZ,Tiruchirappalli,India,IN,2980.3161512799893,FSC,2694.73780859961,6.50631098394534,0.0,613.72,-0.05765061780325644,0.006868825334909241
SQ,ATQ,Amritsar,India,IN,4556.54203718111,FSC,2694.73780859961,6.50631098394534,0.0,938.31,-0.05765061780325644,0.006868825334909241
SQ,CMB,Colombo,Sri Lanka,LK,2749.049173877299,FSC,4515.56787322732,18.865449545300848,0.0,566.1,0.013249080805191937,0.0022263759006991343
SQ,DAC,Dhaka,Bangladesh,BD,2896.7179307093934,FSC,2593.41611680774,1.6620181780222287,0.0,596.51,-0.05671367680009791,0.007607552089243061
SQ,KTM,Kathmandu,Nepal,NP,3536.5915709789215,FSC,1447.31004458428,4.700719848057444,0.0,728.27,-0.053907659867246105,0.007331808083563061
SQ,BWN,Bandar Seri Begawan,Brunei,BN,1277.627330577342,FSC,33153.4738913513,0.799392885478678,0.0,263.1,0.12565179213716046,0.0018621490482159386
SQ,HKG,Hong Kong,Hong Kong,HK,2564.5328188380286,FSC,54074.6928519479,6.946529606750129,0.0,528.1,0.14884114193686449,0.005870244158956761
SQ,TPE,Taipei,Taiwan,TW,3221.2217873785476,FSC,35000.0,2.5,0.0,663.33,0.12308103320865317,0.0018621490482159525
SQ,PEK,Beijing,China,CN,4489.198079548265,FSC,13303.1481543868,2.7176671355156445,0.0,924.44,0.10211541301121808,0.003041754075427172
SQ,PVG,Shanghai,China,CN,3804.6156143939725,FSC,13303.1481543868,2.7176671355156445,0.0,783.47,0.10211541301121808,0.003041754075427172
SQ,CAN,Guangzhou,China,CN,2647.053711478043,FSC,13303.1481543868,2.7176671355156445,0.0,545.09,0.10211541301121808,0.003041754075427172
SQ,ICN,Seoul,South Korea,KR,4626.09623496496,FSC,36238.639908315,1.5825037661840957,0.0,952.63,0.13184303987368007,0.002681884318815525
SQ,NRT,Tokyo,Japan,JP,5357.014441697009,FSC,32487.0778047567,-3.987146293572319,0.0,1103.14,0.128966704322246,0.0020430643578479846
SQ,HND,Tokyo,Japan,JP,5299.0599978589735,FSC,32487.0778047567,-3.987146293572319,0.0,1091.21,0.128966704322246,0.0020430643578479846
SQ,KIX,Osaka,Japan,JP,4901.077414679893,FSC,32487.0778047567,-3.987146293572319,0.0,1009.25,0.128966704322246,0.0020430643578479846
SQ,FUK,Fukuoka,Japan,JP,4519.569022723746,FSC,32487.0778047567,-3.987146293572319,0.0,930.69,0.128966704322246,0.0020430643578479846
SQ,NGO,Nagoya,Japan,JP,5040.216733651508,FSC,32487.0778047567,-3.987146293572319,0.0,1037.91,0.128966704322246,0.0020430643578479846
SQ,BKK,Bangkok,Thailand,TH,1415.3040417559505,FSC,7346.62022142185,2.105862109734824,0.0,291.45,0.04618546446951319,0.0025711045840293226
SQ,USM,Ko Samui,Thailand,TH,1008.4005737427254,FSC,7346.62022142185,2.105862109734824,0.0,207.65,0.04618546446951319,0.0025711045840293226
SQ,KUL,Kuala Lumpur,Malaysia,MY,296.4123530393128,FSC,11874.4273684245,4.289356294973379,0.0,61.04,0.10061886088197484,0.0038009022359243444
